year_quarter,year,hb,admission_type,simd,stays,average_length_of_stay,winter,post_covid
2018 Q2,2018,S08000015,Elective Inpatients,3,400,2.9825,FALSE,FALSE
2018 Q3,2018,S08000015,Elective Inpatients,3,409,3.66503667481663,FALSE,FALSE
2018 Q4,2018,S08000015,Elective Inpatients,3,455,3.45054945054945,TRUE,FALSE
2019 Q1,2019,S08000015,Elective Inpatients,3,424,2.95990566037736,TRUE,FALSE
2019 Q2,2019,S08000015,Elective Inpatients,3,457,4.59299781181619,FALSE,FALSE
2019 Q3,2019,S08000015,Elective Inpatients,3,447,3.59060402684564,FALSE,FALSE
2019 Q4,2019,S08000015,Elective Inpatients,3,390,3.8948717948718,TRUE,FALSE
2020 Q1,2020,S08000015,Elective Inpatients,3,386,4.81088082901554,TRUE,TRUE
2020 Q2,2020,S08000015,Elective Inpatients,3,126,3.63492063492063,FALSE,TRUE
2020 Q3,2020,S08000015,Elective Inpatients,3,244,3.89754098360656,FALSE,TRUE
2020 Q4,2020,S08000015,Elective Inpatients,3,250,4.388,TRUE,TRUE
2021 Q1,2021,S08000015,Elective Inpatients,3,196,3.06122448979592,TRUE,TRUE
2021 Q2,2021,S08000015,Elective Inpatients,3,291,3.28865979381443,FALSE,TRUE
2021 Q3,2021,S08000015,Elective Inpatients,3,251,3.74900398406374,FALSE,TRUE
2021 Q4,2021,S08000015,Elective Inpatients,3,240,4.5625,TRUE,TRUE
2022 Q1,2022,S08000015,Elective Inpatients,3,215,4.02325581395349,TRUE,TRUE
2022 Q2,2022,S08000015,Elective Inpatients,3,274,3.40875912408759,FALSE,TRUE
2022 Q3,2022,S08000015,Elective Inpatients,3,325,3.98153846153846,FALSE,TRUE
2022 Q4,2022,S08000015,Elective Inpatients,3,349,4.06876790830946,TRUE,TRUE
2018 Q1,2018,S08000015,Elective Inpatients,4,321,3.49844236760125,TRUE,FALSE
2018 Q2,2018,S08000015,Elective Inpatients,4,354,4.07062146892655,FALSE,FALSE
2018 Q3,2018,S08000015,Elective Inpatients,4,354,3.69209039548023,FALSE,FALSE
2018 Q4,2018,S08000015,Elective Inpatients,4,345,3.6231884057971,TRUE,FALSE
2019 Q1,2019,S08000015,Elective Inpatients,4,354,3.06779661016949,TRUE,FALSE
2019 Q2,2019,S08000015,Elective Inpatients,4,356,3.97191011235955,FALSE,FALSE
2019 Q3,2019,S08000015,Elective Inpatients,4,373,3.79356568364611,FALSE,FALSE
2019 Q4,2019,S08000015,Elective Inpatients,4,323,3.45820433436533,TRUE,FALSE
2020 Q1,2020,S08000015,Elective Inpatients,4,304,3.76315789473684,TRUE,TRUE
2020 Q2,2020,S08000015,Elective Inpatients,4,75,6.08,FALSE,TRUE
2020 Q3,2020,S08000015,Elective Inpatients,4,169,4.42603550295858,FALSE,TRUE
2020 Q4,2020,S08000015,Elective Inpatients,4,212,3.84433962264151,TRUE,TRUE
2021 Q1,2021,S08000015,Elective Inpatients,4,158,3.87974683544304,TRUE,TRUE
2021 Q2,2021,S08000015,Elective Inpatients,4,254,3.50787401574803,FALSE,TRUE
2021 Q3,2021,S08000015,Elective Inpatients,4,220,5.57272727272727,FALSE,TRUE
2021 Q4,2021,S08000015,Elective Inpatients,4,215,5.22325581395349,TRUE,TRUE
2022 Q1,2022,S08000015,Elective Inpatients,4,187,3.55614973262032,TRUE,TRUE
2022 Q2,2022,S08000015,Elective Inpatients,4,249,4.13654618473896,FALSE,TRUE
2022 Q3,2022,S08000015,Elective Inpatients,4,254,4.29527559055118,FALSE,TRUE
2022 Q4,2022,S08000015,Elective Inpatients,4,304,4.66118421052632,TRUE,TRUE
2018 Q1,2018,S08000015,Elective Inpatients,5,317,3.5993690851735,TRUE,FALSE
2018 Q2,2018,S08000015,Elective Inpatients,5,276,4.58695652173913,FALSE,FALSE
2018 Q3,2018,S08000015,Elective Inpatients,5,273,4.52747252747253,FALSE,FALSE
2018 Q4,2018,S08000015,Elective Inpatients,5,284,6.09154929577465,TRUE,FALSE
2019 Q1,2019,S08000015,Elective Inpatients,5,330,3.35757575757576,TRUE,FALSE
2019 Q2,2019,S08000015,Elective Inpatients,5,326,4.21779141104294,FALSE,FALSE
2019 Q3,2019,S08000015,Elective Inpatients,5,276,4.61594202898551,FALSE,FALSE
2019 Q4,2019,S08000015,Elective Inpatients,5,284,4.34507042253521,TRUE,FALSE
2020 Q1,2020,S08000015,Elective Inpatients,5,256,3.82421875,TRUE,TRUE
2020 Q2,2020,S08000015,Elective Inpatients,5,84,5.21428571428571,FALSE,TRUE
2020 Q3,2020,S08000015,Elective Inpatients,5,156,2.76923076923077,FALSE,TRUE
2020 Q4,2020,S08000015,Elective Inpatients,5,192,4.19270833333333,TRUE,TRUE
2021 Q1,2021,S08000015,Elective Inpatients,5,140,4.04285714285714,TRUE,TRUE
2021 Q2,2021,S08000015,Elective Inpatients,5,215,4.51162790697674,FALSE,TRUE
2021 Q3,2021,S08000015,Elective Inpatients,5,174,4.14942528735632,FALSE,TRUE
2021 Q4,2021,S08000015,Elective Inpatients,5,207,4.05314009661836,TRUE,TRUE
2022 Q1,2022,S08000015,Elective Inpatients,5,168,3.41666666666667,TRUE,TRUE
2022 Q2,2022,S08000015,Elective Inpatients,5,204,4.67647058823529,FALSE,TRUE
2022 Q3,2022,S08000015,Elective Inpatients,5,216,4.41666666666667,FALSE,TRUE
2022 Q4,2022,S08000015,Elective Inpatients,5,223,4.23318385650224,TRUE,TRUE
2018 Q1,2018,S08000015,Elective Inpatients,1,315,3.39047619047619,TRUE,FALSE
2018 Q2,2018,S08000015,Elective Inpatients,1,385,4.21298701298701,FALSE,FALSE
2018 Q3,2018,S08000015,Elective Inpatients,1,345,3.17101449275362,FALSE,FALSE
2018 Q4,2018,S08000015,Elective Inpatients,1,350,3.36285714285714,TRUE,FALSE
2019 Q1,2019,S08000015,Elective Inpatients,1,360,3.39722222222222,TRUE,FALSE
2019 Q2,2019,S08000015,Elective Inpatients,1,320,3.215625,FALSE,FALSE
2019 Q3,2019,S08000015,Elective Inpatients,1,305,3.40327868852459,FALSE,FALSE
2019 Q4,2019,S08000015,Elective Inpatients,1,320,4.221875,TRUE,FALSE
2020 Q1,2020,S08000015,Elective Inpatients,1,270,3.91481481481481,TRUE,TRUE
2020 Q2,2020,S08000015,Elective Inpatients,1,85,3.17647058823529,FALSE,TRUE
2020 Q3,2020,S08000015,Elective Inpatients,1,180,4.68888888888889,FALSE,TRUE
2020 Q4,2020,S08000015,Elective Inpatients,1,130,4.26153846153846,TRUE,TRUE
2021 Q1,2021,S08000015,Elective Inpatients,1,145,4.71724137931034,TRUE,TRUE
2021 Q2,2021,S08000015,Elective Inpatients,1,185,4.19459459459459,FALSE,TRUE
2021 Q3,2021,S08000015,Elective Inpatients,1,175,3.87428571428571,FALSE,TRUE
2021 Q4,2021,S08000015,Elective Inpatients,1,210,4.42380952380952,TRUE,TRUE
2022 Q1,2022,S08000015,Elective Inpatients,1,170,4.07058823529412,TRUE,TRUE
2022 Q2,2022,S08000015,Elective Inpatients,1,190,5.49473684210526,FALSE,TRUE
2022 Q3,2022,S08000015,Elective Inpatients,1,230,4.50434782608696,FALSE,TRUE
2022 Q4,2022,S08000015,Elective Inpatients,1,240,4.39166666666667,TRUE,TRUE
2018 Q1,2018,S08000015,Elective Inpatients,2,170,3.19411764705882,TRUE,FALSE
2018 Q2,2018,S08000015,Elective Inpatients,2,185,4.08108108108108,FALSE,FALSE
2018 Q3,2018,S08000015,Elective Inpatients,2,180,3.55,FALSE,FALSE
2018 Q4,2018,S08000015,Elective Inpatients,2,166,4.24096385542169,TRUE,FALSE
2019 Q1,2019,S08000015,Elective Inpatients,2,170,3.58235294117647,TRUE,FALSE
2019 Q2,2019,S08000015,Elective Inpatients,2,175,4.16,FALSE,FALSE
2019 Q3,2019,S08000015,Elective Inpatients,2,160,2.96875,FALSE,FALSE
2019 Q4,2019,S08000015,Elective Inpatients,2,165,3.89090909090909,TRUE,FALSE
2020 Q1,2020,S08000015,Elective Inpatients,2,195,3.46153846153846,TRUE,TRUE
2020 Q2,2020,S08000015,Elective Inpatients,2,65,3.6,FALSE,TRUE
2020 Q3,2020,S08000015,Elective Inpatients,2,105,4.9047619047619,FALSE,TRUE
2020 Q4,2020,S08000015,Elective Inpatients,2,110,4.42727272727273,TRUE,TRUE
2021 Q1,2021,S08000015,Elective Inpatients,2,83,6.19277108433735,TRUE,TRUE
2021 Q2,2021,S08000015,Elective Inpatients,2,115,4.25217391304348,FALSE,TRUE
2021 Q3,2021,S08000015,Elective Inpatients,2,85,3.55294117647059,FALSE,TRUE
2021 Q4,2021,S08000015,Elective Inpatients,2,85,4.09411764705882,TRUE,TRUE
2022 Q1,2022,S08000015,Elective Inpatients,2,80,4.475,TRUE,TRUE
2022 Q2,2022,S08000015,Elective Inpatients,2,105,2.2952380952381,FALSE,TRUE
2022 Q3,2022,S08000015,Elective Inpatients,2,105,3.27619047619048,FALSE,TRUE
2022 Q4,2022,S08000015,Elective Inpatients,2,115,3.12173913043478,TRUE,TRUE
2018 Q1,2018,S08000015,Elective Inpatients,3,140,2.85,TRUE,FALSE
2018 Q2,2018,S08000015,Elective Inpatients,3,135,3.55555555555556,FALSE,FALSE
2018 Q3,2018,S08000015,Elective Inpatients,3,145,3.2551724137931,FALSE,FALSE
2018 Q4,2018,S08000015,Elective Inpatients,3,155,4.29677419354839,TRUE,FALSE
2019 Q1,2019,S08000015,Elective Inpatients,3,145,2.72413793103448,TRUE,FALSE
2019 Q2,2019,S08000015,Elective Inpatients,3,150,3.25333333333333,FALSE,FALSE
2019 Q3,2019,S08000015,Elective Inpatients,3,155,3.35483870967742,FALSE,FALSE
2019 Q4,2019,S08000015,Elective Inpatients,3,133,4.66165413533835,TRUE,FALSE
2020 Q1,2020,S08000015,Elective Inpatients,3,135,4.02222222222222,TRUE,TRUE
2020 Q2,2020,S08000015,Elective Inpatients,3,55,3.94545454545455,FALSE,TRUE
2020 Q3,2020,S08000015,Elective Inpatients,3,75,3.81333333333333,FALSE,TRUE
2020 Q4,2020,S08000015,Elective Inpatients,3,95,5.90526315789474,TRUE,TRUE
2021 Q1,2021,S08000015,Elective Inpatients,3,75,3.2,TRUE,TRUE
2021 Q2,2021,S08000015,Elective Inpatients,3,95,4,FALSE,TRUE
2021 Q3,2021,S08000015,Elective Inpatients,3,90,4.06666666666667,FALSE,TRUE
2021 Q4,2021,S08000015,Elective Inpatients,3,80,4.2625,TRUE,TRUE
2022 Q1,2022,S08000015,Elective Inpatients,3,55,3.27272727272727,TRUE,TRUE
2022 Q2,2022,S08000015,Elective Inpatients,3,82,3.20731707317073,FALSE,TRUE
2022 Q3,2022,S08000015,Elective Inpatients,3,95,3.65263157894737,FALSE,TRUE
2022 Q4,2022,S08000015,Elective Inpatients,3,110,3.33636363636364,TRUE,TRUE
2018 Q1,2018,S08000015,Elective Inpatients,4,130,3.13076923076923,TRUE,FALSE
2018 Q2,2018,S08000015,Elective Inpatients,4,155,3.4,FALSE,FALSE
2018 Q3,2018,S08000015,Elective Inpatients,4,140,3.2,FALSE,FALSE
2018 Q4,2018,S08000015,Elective Inpatients,4,135,3.51111111111111,TRUE,FALSE
2019 Q1,2019,S08000015,Elective Inpatients,4,135,2.98518518518519,TRUE,FALSE
2019 Q2,2019,S08000015,Elective Inpatients,4,135,3.59259259259259,FALSE,FALSE
2019 Q3,2019,S08000015,Elective Inpatients,4,155,3.99354838709677,FALSE,FALSE
2019 Q4,2019,S08000015,Elective Inpatients,4,122,3.27868852459016,TRUE,FALSE
2020 Q1,2020,S08000015,Elective Inpatients,4,115,3.8695652173913,TRUE,TRUE
2020 Q2,2020,S08000015,Elective Inpatients,4,25,6.04,FALSE,TRUE
2020 Q3,2020,S08000015,Elective Inpatients,4,65,5.86153846153846,FALSE,TRUE
2020 Q4,2020,S08000015,Elective Inpatients,4,92,2.83695652173913,TRUE,TRUE
2021 Q1,2021,S08000015,Elective Inpatients,4,63,3.57142857142857,TRUE,TRUE
2021 Q2,2021,S08000015,Elective Inpatients,4,105,3.72380952380952,FALSE,TRUE
2021 Q3,2021,S08000015,Elective Inpatients,4,90,8.36666666666667,FALSE,TRUE
2021 Q4,2021,S08000015,Elective Inpatients,4,80,7.575,TRUE,TRUE
2022 Q1,2022,S08000015,Elective Inpatients,4,80,3.8125,TRUE,TRUE
2022 Q2,2022,S08000015,Elective Inpatients,4,107,4.50467289719626,FALSE,TRUE
2022 Q3,2022,S08000015,Elective Inpatients,4,98,3.6530612244898,FALSE,TRUE
2022 Q4,2022,S08000015,Elective Inpatients,4,105,3.83809523809524,TRUE,TRUE
2018 Q1,2018,S08000015,Elective Inpatients,5,95,2.71578947368421,TRUE,FALSE
2018 Q2,2018,S08000015,Elective Inpatients,5,80,3.225,FALSE,FALSE
2018 Q3,2018,S08000015,Elective Inpatients,5,74,4.24324324324324,FALSE,FALSE
2018 Q4,2018,S08000015,Elective Inpatients,5,85,9.64705882352941,TRUE,FALSE
2019 Q1,2019,S08000015,Elective Inpatients,5,95,3.24210526315789,TRUE,FALSE
2019 Q2,2019,S08000015,Elective Inpatients,5,81,5.82716049382716,FALSE,FALSE
2019 Q3,2019,S08000015,Elective Inpatients,5,90,4.54444444444444,FALSE,FALSE
2019 Q4,2019,S08000015,Elective Inpatients,5,80,4.425,TRUE,FALSE
2020 Q1,2020,S08000015,Elective Inpatients,5,60,3.78333333333333,TRUE,TRUE
2020 Q2,2020,S08000015,Elective Inpatients,5,19,3.89473684210526,FALSE,TRUE
2020 Q3,2020,S08000015,Elective Inpatients,5,40,2.25,FALSE,TRUE
2020 Q4,2020,S08000015,Elective Inpatients,5,70,4,TRUE,TRUE
2021 Q1,2021,S08000015,Elective Inpatients,5,50,4.32,TRUE,TRUE
2021 Q2,2021,S08000015,Elective Inpatients,5,65,5.69230769230769,FALSE,TRUE
2021 Q3,2021,S08000015,Elective Inpatients,5,55,5.09090909090909,FALSE,TRUE
2021 Q4,2021,S08000015,Elective Inpatients,5,55,3,TRUE,TRUE
2022 Q1,2022,S08000015,Elective Inpatients,5,50,1.78,TRUE,TRUE
2022 Q2,2022,S08000015,Elective Inpatients,5,65,6.96923076923077,FALSE,TRUE
2022 Q3,2022,S08000015,Elective Inpatients,5,60,4.81666666666667,FALSE,TRUE
2022 Q4,2022,S08000015,Elective Inpatients,5,64,5.53125,TRUE,TRUE
2018 Q1,2018,S08000015,Elective Inpatients,1,130,3.82307692307692,TRUE,FALSE
2018 Q2,2018,S08000015,Elective Inpatients,1,120,3.40833333333333,FALSE,FALSE
2018 Q3,2018,S08000015,Elective Inpatients,1,112,3.90178571428571,FALSE,FALSE
2018 Q4,2018,S08000015,Elective Inpatients,1,135,2.85185185185185,TRUE,FALSE
2019 Q1,2019,S08000015,Elective Inpatients,1,94,4.79787234042553,TRUE,FALSE
2019 Q2,2019,S08000015,Elective Inpatients,1,110,4.74545454545455,FALSE,FALSE
2019 Q3,2019,S08000015,Elective Inpatients,1,105,3.4952380952381,FALSE,FALSE
2019 Q4,2019,S08000015,Elective Inpatients,1,85,4.21176470588235,TRUE,FALSE
