"","month","country","hbt","treatment_location","department_type","number_of_attendances_all","number_within4hours_all","number_over4hours_all","percentage_within4hours_all","number_of_attendances_episode","number_within4hours_episode","number_over4hours_episode","percentage_within4hours_episode","percentage_within4hours_episode_qf","number_over8hours_episode","percentage_over8hours_episode","number_over12hours_episode","number_over12hours_episode_qf","percentage_over12hours_episode","percentage_over12hours_episode_qf","date","health_board","year_quarter","year","quarter","winter","post_covid","q_percent_within_4_hours","q_percent_over_4_hours","q_percent_above_8_hours","q_percent_above_12_hours","hb_name","hb"
"81",201801,"S92000003","S08000030","T205H","Minor Injury Unit or Other",29,29,0,100,29,29,0,100,NA,0,0,0,NA,0,NA,2018-01-01,"Tayside","2018 Q1",2018,1,"Winter",FALSE,100,0,0,0,"Tayside","S08000030"
"82",201801,"S92000003","S08000030","T209H","Minor Injury Unit or Other",258,258,0,100,258,258,0,100,NA,0,0,0,NA,0,NA,2018-01-01,"Tayside","2018 Q1",2018,1,"Winter",FALSE,100,0,0,0,"Tayside","S08000030"
"83",201801,"S92000003","S08000030","T304H","Minor Injury Unit or Other",1140,1139,1,99.9,1140,1139,1,99.9,NA,0,0,0,NA,0,NA,2018-01-01,"Tayside","2018 Q1",2018,1,"Winter",FALSE,99.9122807017544,0.087719298245614,0,0,"Tayside","S08000030"
"84",201801,"S92000003","S08000030","T305H","Minor Injury Unit or Other",142,142,0,100,142,142,0,100,NA,0,0,0,NA,0,NA,2018-01-01,"Tayside","2018 Q1",2018,1,"Winter",FALSE,100,0,0,0,"Tayside","S08000030"
"85",201801,"S92000003","S08000030","T316H","Minor Injury Unit or Other",76,76,0,100,76,76,0,100,NA,0,0,0,NA,0,NA,2018-01-01,"Tayside","2018 Q1",2018,1,"Winter",FALSE,100,0,0,0,"Tayside","S08000030"
"86",201801,"S92000003","S08000030","T319H","Minor Injury Unit or Other",432,432,0,100,432,432,0,100,NA,0,0,0,NA,0,NA,2018-01-01,"Tayside","2018 Q1",2018,1,"Winter",FALSE,100,0,0,0,"Tayside","S08000030"
"87",201801,"S92000003","S08000030","T320H","Minor Injury Unit or Other",130,130,0,100,130,130,0,100,NA,0,0,0,NA,0,NA,2018-01-01,"Tayside","2018 Q1",2018,1,"Winter",FALSE,100,0,0,0,"Tayside","S08000030"
"88",201801,"S92000003","S08000030","T357C","Minor Injury Unit or Other",305,305,0,100,305,305,0,100,NA,0,0,0,NA,0,NA,2018-01-01,"Tayside","2018 Q1",2018,1,"Winter",FALSE,100,0,0,0,"Tayside","S08000030"
"89",201801,"S92000003","S08000028","W106H","Minor Injury Unit or Other",40,40,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-01-01,"Western Isles","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Western Isles","S08000028"
"90",201801,"S92000003","S08000028","W107H","Emergency Department",540,532,8,98.5,540,532,8,98.5,NA,0,0,0,NA,0,NA,2018-01-01,"Western Isles","2018 Q1",2018,1,"Winter",FALSE,98.5185185185185,1.48148148148148,0,0,"Western Isles","S08000028"
"91",201801,"S92000003","S08000028","W108H","Minor Injury Unit or Other",117,117,0,100,117,117,0,100,NA,0,0,0,NA,0,NA,2018-01-01,"Western Isles","2018 Q1",2018,1,"Winter",FALSE,100,0,0,0,"Western Isles","S08000028"
"92",201802,"S92000003","S08000015","A101H","Minor Injury Unit or Other",179,179,0,100,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-02-01,"Ayrshire and Arran","2018 Q1",2018,1,"Winter",FALSE,100,0,NA,NA,"Ayrshire and Arran","S08000015"
"93",201802,"S92000003","S08000015","A110H","Minor Injury Unit or Other",36,35,1,97.2,NA,NA,NA,NA,"z",NA,NA,NA,"z",NA,"z",2018-02-01,"Ayrshire and Arran","2018 Q1",2018,1,"Winter",FALSE,97.2222222222222,2.77777777777778,NA,NA,"Ayrshire and Arran","S08000015"
"94",201802,"S92000003","S08000015","A111H","Emergency Department",5185,4802,383,92.6,5185,4802,383,92.6,NA,117,2.3,45,NA,0.9,NA,2018-02-01,"Ayrshire and Arran","2018 Q1",2018,1,"Winter",FALSE,92.6133076181292,7.38669238187078,2.25650916104147,0.867888138862102,"Ayrshire and Arran","S08000015"
"95",201802,"S92000003","S08000015","A210H","Emergency Department",2649,2527,122,95.4,2649,2527,122,95.4,NA,5,0.2,0,NA,0,NA,2018-02-01,"Ayrshire and Arran","2018 Q1",2018,1,"Winter",FALSE,95.3944884862212,4.60551151377878,0.18875047187618,0,"Ayrshire and Arran","S08000015"
