_id,Quarter,QuarterQF,HB,HBQF,Location,LocationQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,AllStaffedBeddays,AllStaffedBeddaysQF,TotalOccupiedBeddays,TotalOccupiedBeddaysQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,PercentageOccupancy,PercentageOccupancyQF
52,2022Q1,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",18,"",18,"",0.2,"",0.2,"",100,""
53,2022Q1,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",18,"",18,"",0.2,"",0.2,"",100,""
54,2022Q2,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",1,"",1,"",0.01098901098901099,"",0.01098901098901099,"",100,""
55,2022Q2,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",33,"",33,"",0.3626373626373626,"",0.3626373626373626,"",100,""
56,2022Q2,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",34,"",34,"",0.3736263736263736,"",0.3736263736263736,"",100,""
57,2022Q3,"",S08000015,"",A111H,"",C2,"",Accident & Emergency,"",1,"",1,"",0.0108695652173913,"",0.0108695652173913,"",100,""
58,2022Q3,"",S08000015,"",A210H,"",C2,"",Accident & Emergency,"",22,"",22,"",0.2391304347826087,"",0.2391304347826087,"",100,""
59,2022Q3,"",S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",23,"",23,"",0.25,"",0.25,"",100,""
60,2022Q4,p,S08000015,"",A111H,"",C2,"",Accident & Emergency,"",1,"",1,"",0.0108695652173913,"",0.0108695652173913,"",100,""
61,2022Q4,p,S08000015,"",A210H,"",C2,"",Accident & Emergency,"",13,"",13,"",0.14130434782608697,"",0.14130434782608697,"",100,""
62,2022Q4,p,S08000015,"",S08000015,d,C2,"",Accident & Emergency,"",14,"",14,"",0.15217391304347827,"",0.15217391304347827,"",100,""
63,2017Q4,"",S08000015,"",A111H,"","","",All Acute,d,47923,"",45490,"",520.9021739130435,"",494.4565217391304,"",94.92310581557916,""
64,2017Q4,"",S08000015,"",A210H,"","","",All Acute,d,34338,"",31721,"",373.2391304347826,"",344.79347826086956,"",92.37870580697768,""
65,2017Q4,"",S08000015,"",S08000015,d,"","",All Acute,d,96790,"",89433,"",1052.0652173913045,"",972.0978260869564,"",92.3990081620002,""
66,2018Q1,"",S08000015,"",A111H,"","","",All Acute,d,48341,"",46059,"",537.1222222222223,"",511.76666666666665,"",95.27936947932396,""
67,2018Q1,"",S08000015,"",A210H,"","","",All Acute,d,34511,"",31678,"",383.4555555555556,"",351.97777777777776,"",91.79102315203848,""
68,2018Q1,"",S08000015,"",S08000015,d,"","",All Acute,d,97321,"",89818,"",1081.3444444444444,"",997.9777777777778,"",92.29046146258258,""
69,2018Q2,"",S08000015,"",A111H,"","","",All Acute,d,46542,"",43729,"",511.45054945054943,"",480.53846153846155,"",93.9559967341326,""
70,2018Q2,"",S08000015,"",A210H,"","","",All Acute,d,31513,"",27910,"",346.2967032967033,"",306.7032967032967,"",88.56662329832132,""
71,2018Q2,"",S08000015,"",S08000015,d,"","",All Acute,d,90737,"",83870,"",997.10989010989,"",921.6483516483516,"",92.43197372626382,""
72,2018Q3,"",S08000015,"",A111H,"","","",All Acute,d,42634,"",39984,"",463.4130434782609,"",434.60869565217394,"",93.78430360744946,""
73,2018Q3,"",S08000015,"",A210H,"","","",All Acute,d,30038,"",27237,"",326.5,"",296.05434782608694,"",90.67514481656568,""
74,2018Q3,"",S08000015,"",S08000015,d,"","",All Acute,d,86024,"",79863,"",935.0434782608696,"",868.0760869565217,"",92.8380451966893,""
75,2018Q4,"",S08000015,"",A111H,"","","",All Acute,d,42752,"",40164,"",464.69565217391306,"",436.5652173913044,"",93.94648203592814,""
76,2018Q4,"",S08000015,"",A210H,"","","",All Acute,d,29679,"",27036,"",322.5978260869565,"",293.8695652173913,"",91.09471343374103,""
77,2018Q4,"",S08000015,"",S08000015,d,"","",All Acute,d,85405,"",79521,"",928.3152173913044,"",864.3586956521739,"",93.11047362566592,""
78,2019Q1,"",S08000015,"",A111H,"","","",All Acute,d,42984,"",41103,"",477.6,"",456.7,"",95.62395309882746,""
79,2019Q1,"",S08000015,"",A210H,"","","",All Acute,d,29856,"",28273,"",331.73333333333335,"",314.14444444444445,"",94.69788317256165,""
80,2019Q1,"",S08000015,"",S08000015,d,"","",All Acute,d,85491,"",81775,"",949.9,"",908.6111111111112,"",95.65334362681452,""
81,2019Q2,"",S08000015,"",A111H,"","","",All Acute,d,41231,"",39071,"",453.0879120879121,"",429.3516483516483,"",94.76122335136183,""
82,2019Q2,"",S08000015,"",A210H,"","","",All Acute,d,30765,"",28919,"",338.0769230769231,"",317.7912087912088,"",93.99967495530636,""
83,2019Q2,"",S08000015,"",S08000015,d,"","",All Acute,d,84452,"",79924,"",928.043956043956,"",878.2857142857143,"",94.63837446123242,""
84,2019Q3,"",S08000015,"",A111H,"","","",All Acute,d,41576,"",38851,"",451.9130434782609,"",422.2934782608696,"",93.44573792572638,""
85,2019Q3,"",S08000015,"",A210H,"","","",All Acute,d,31751,"",30058,"",345.1195652173913,"",326.7173913043478,"",94.6678844760795,""
86,2019Q3,"",S08000015,"",S08000015,d,"","",All Acute,d,85118,"",80009,"",925.195652173913,"",869.6630434782609,"",93.99774430790198,""
87,2019Q4,"",S08000015,"",A111H,"","","",All Acute,d,41697,"",39505,"",453.2282608695652,"",429.4021739130435,"",94.74302707628848,""
88,2019Q4,"",S08000015,"",A210H,"","","",All Acute,d,31909,"",30177,"",346.8369565217391,"",328.0108695652174,"",94.57206430787552,""
89,2019Q4,"",S08000015,"",S08000015,d,"","",All Acute,d,86469,"",81597,"",939.8804347826087,"",886.9239130434783,"",94.365610796933,""
90,2020Q1,"",S08000015,"",A111H,"","","",All Acute,d,43053,"",38853,"",473.1098901098901,"",426.956043956044,"",90.24458225907604,""
91,2020Q1,"",S08000015,"",A210H,"","","",All Acute,d,31574,"",28350,"",346.967032967033,"",311.53846153846155,"",89.78906695382275,""
92,2020Q1,"",S08000015,"",S08000015,d,"","",All Acute,d,87439,"",79602,"",960.868131868132,"",874.7472527472528,"",91.03718020562908,""
93,2020Q2,"",S08000015,"",A111H,"","","",All Acute,d,39567,"",28239,"",434.8021978021978,"",310.31868131868134,"",71.37008112821292,""
94,2020Q2,"",S08000015,"",A210H,"","","",All Acute,d,25566,"",18179,"",280.94505494505495,"",199.76923076923077,"",71.10615661425331,""
95,2020Q2,"",S08000015,"",S08000015,d,"","",All Acute,d,79260,"",58335,"",870.989010989011,"",641.0439560439561,"",73.5995457986374,""
96,2020Q3,"",S08000015,"",A111H,"","","",All Acute,d,41011,"",37505,"",445.7717391304348,"",407.6630434782609,"",91.45107410207018,""
97,2020Q3,"",S08000015,"",A210H,"","","",All Acute,d,26061,"",23002,"",283.2717391304348,"",250.0217391304348,"",88.26215417673919,""
98,2020Q3,"",S08000015,"",S08000015,d,"","",All Acute,d,81232,"",72179,"",882.9565217391304,"",784.554347826087,"",88.85537719125469,""
99,2020Q4,"",S08000015,"",A111H,"","","",All Acute,d,44270,"",39411,"",481.19565217391306,"",428.3804347826087,"",89.0241698667269,""
100,2020Q4,"",S08000015,"",A210H,"","","",All Acute,d,29415,"",26066,"",319.7282608695652,"",283.32608695652175,"",88.6146523882373,""
101,2020Q4,"",S08000015,"",S08000015,d,"","",All Acute,d,88117,"",77380,"",957.7934782608696,"",841.0869565217391,"",87.81506406255319,""
102,2021Q1,"",S08000015,"",A111H,"","","",All Acute,d,44361,"",40225,"",492.9,"",446.94444444444446,"",90.67649511958705,""
103,2021Q1,"",S08000015,"",A210H,"","","",All Acute,d,28688,"",24803,"",318.75555555555553,"",275.5888888888889,"",86.45775237032906,""
104,2021Q1,"",S08000015,"",S08000015,d,"","",All Acute,d,86788,"",76215,"",964.3111111111112,"",846.8333333333334,"",87.81744019910587,""
105,2021Q2,"",S08000015,"",A111H,"","","",All Acute,d,44720,"",41081,"",491.42857142857144,"",451.43956043956047,"",91.86270125223614,""
106,2021Q2,"",S08000015,"",A210H,"","","",All Acute,d,27905,"",24867,"",306.64835164835165,"",273.2637362637363,"",89.11306217523742,""
107,2021Q2,"",S08000015,"",S08000015,d,"","",All Acute,d,86764,"",77846,"",953.4505494505496,"",855.4505494505495,"",89.72154349730303,""
108,2021Q3,"",S08000015,"",A111H,"","","",All Acute,d,47624,"",44411,"",517.6521739130435,"",482.7282608695652,"",93.25340164622878,""
109,2021Q3,"",S08000015,"",A210H,"","","",All Acute,d,28149,"",25637,"",305.9673913043478,"",278.6630434782609,"",91.0760595403034,""
110,2021Q3,"",S08000015,"",S08000015,d,"","",All Acute,d,90100,"",82594,"",979.3478260869564,"",897.7608695652174,"",91.669256381798,""
111,2021Q4,"",S08000015,"",A111H,"","","",All Acute,d,50783,"",46694,"",551.9891304347826,"",507.5434782608696,"",91.94809286572276,""
112,2021Q4,"",S08000015,"",A210H,"","","",All Acute,d,28742,"",26178,"",312.4130434782609,"",284.54347826086956,"",91.079256836685,""
113,2021Q4,"",S08000015,"",S08000015,d,"","",All Acute,d,93750,"",85593,"",1019.0217391304348,"",930.358695652174,"",91.2992,""
114,2022Q1,"",S08000015,"",A111H,"","","",All Acute,d,50886,"",47085,"",565.4,"",523.1666666666666,"",92.5303619856149,""
115,2022Q1,"",S08000015,"",A210H,"","","",All Acute,d,28917,"",26572,"",321.3,"",295.24444444444447,"",91.89058339385136,""
116,2022Q1,"",S08000015,"",S08000015,d,"","",All Acute,d,93600,"",86008,"",1040,"",955.6444444444444,"",91.88888888888889,""
117,2022Q2,"",S08000015,"",A111H,"","","",All Acute,d,50269,"",47311,"",552.4065934065934,"",519.9010989010989,"",94.11565776124448,""
118,2022Q2,"",S08000015,"",A210H,"","","",All Acute,d,29502,"",27446,"",324.1978021978022,"",301.6043956043956,"",93.03098095044405,""
119,2022Q2,"",S08000015,"",S08000015,d,"","",All Acute,d,93587,"",87188,"",1028.428571428571,"",958.10989010989,"",93.1625118873348,""
120,2022Q3,"",S08000015,"",A111H,"","","",All Acute,d,50930,"",47757,"",553.5869565217391,"",519.0978260869565,"",93.7698802277636,""
121,2022Q3,"",S08000015,"",A210H,"","","",All Acute,d,29506,"",27297,"",320.7173913043478,"",296.70652173913044,"",92.51338710770692,""
122,2022Q3,"",S08000015,"",S08000015,d,"","",All Acute,d,94928,"",88033,"",1031.8260869565215,"",956.8804347826087,"",92.73660037080737,""
123,2022Q4,p,S08000015,"",A111H,"","","",All Acute,d,51980,"",49642,"",565,"",539.5869565217391,"",95.5021161985379,""
124,2022Q4,p,S08000015,"",A210H,"","","",All Acute,d,29376,"",28015,"",319.30434782608694,"",304.5108695652174,"",95.36696623093682,""
125,2022Q4,p,S08000015,"",S08000015,d,"","",All Acute,d,96172,"",91093,"",1045.3478260869565,"",990.141304347826,"",94.71883708355864,""
126,2017Q4,"",S08000015,"",A101H,"",Z9,d,All Specialties,d,1196,"",626,"",13,"",6.804347826086956,"",52.34113712374582,""
127,2017Q4,"",S08000015,"",A111H,"",Z9,d,All Specialties,d,55226,"",51094,"",600.2826086956521,"",555.3695652173913,"",92.51801687610909,""
128,2017Q4,"",S08000015,"",A210H,"",Z9,d,All Specialties,d,34623,"",32006,"",376.3369565217391,"",347.89130434782606,"",92.44144066083238,""
129,2017Q4,"",S08000015,"",S08000015,d,Z9,d,All Specialties,d,142197,"",124643,"",1545.6195652173913,"",1354.8152173913045,"",87.65515446880032,""
130,2018Q1,"",S08000015,"",A101H,"",Z9,d,All Specialties,d,1084,"",871,"",12.044444444444444,"",9.677777777777775,"",80.35055350553505,""
131,2018Q1,"",S08000015,"",A111H,"",Z9,d,All Specialties,d,55533,"",51488,"",617.0333333333333,"",572.0888888888888,"",92.71604271334162,""
132,2018Q1,"",S08000015,"",A210H,"",Z9,d,All Specialties,d,34650,"",31817,"",385,"",353.52222222222224,"",91.82395382395384,""
133,2018Q1,"",S08000015,"",S08000015,d,Z9,d,All Specialties,d,141280,"",123755,"",1569.7777777777778,"",1375.0555555555557,"",87.59555492638732,""
134,2018Q2,"",S08000015,"",A101H,"",Z9,d,All Specialties,d,1092,"",653,"",12,"",7.175824175824176,"",59.7985347985348,""
135,2018Q2,"",S08000015,"",A111H,"",Z9,d,All Specialties,d,53767,"",48888,"",590.8461538461538,"",537.2307692307693,"",90.92566072126029,""
136,2018Q2,"",S08000015,"",A210H,"",Z9,d,All Specialties,d,31709,"",28106,"",348.45054945054943,"",308.85714285714283,"",88.63729540509003,""
137,2018Q2,"",S08000015,"",S08000015,d,Z9,d,All Specialties,d,135049,"",117682,"",1484.0549450549452,"",1293.2087912087911,"",87.1402231782538,""
138,2018Q3,"",S08000015,"",A101H,"",Z9,d,All Specialties,d,1105,"",651,"",12.01086956521739,"",7.076086956521739,"",58.91402714932127,""
139,2018Q3,"",S08000015,"",A111H,"",Z9,d,All Specialties,d,49967,"",45374,"",543.1195652173913,"",493.19565217391306,"",90.80793323593574,""
140,2018Q3,"",S08000015,"",A210H,"",Z9,d,All Specialties,d,30206,"",27405,"",328.32608695652175,"",297.8804347826087,"",90.72700787922928,""
141,2018Q3,"",S08000015,"",S08000015,d,Z9,d,All Specialties,d,129342,"",111857,"",1405.891304347826,"",1215.8369565217392,"",86.48157597686755,""
142,2018Q4,"",S08000015,"",A101H,"",Z9,d,All Specialties,d,1104,"",653,"",12,"",7.0978260869565215,"",59.14855072463768,""
143,2018Q4,"",S08000015,"",A111H,"",Z9,d,All Specialties,d,50540,"",46470,"",549.3478260869565,"",505.10869565217394,"",91.94697269489514,""
144,2018Q4,"",S08000015,"",A210H,"",Z9,d,All Specialties,d,29831,"",27188,"",324.25,"",295.5217391304348,"",91.1400891689853,""
145,2018Q4,"",S08000015,"",S08000015,d,Z9,d,All Specialties,d,128415,"",112404,"",1395.8152173913045,"",1221.7826086956522,"",87.53183039364562,""
146,2019Q1,"",S08000015,"",A101H,"",Z9,d,All Specialties,d,1038,"",661,"",11.533333333333331,"",7.344444444444444,"",63.68015414258189,""
147,2019Q1,"",S08000015,"",A111H,"",Z9,d,All Specialties,d,50217,"",46307,"",557.9666666666667,"",514.5222222222222,"",92.21379214210327,""
148,2019Q1,"",S08000015,"",A210H,"",Z9,d,All Specialties,d,30006,"",28423,"",333.4,"",315.81111111111113,"",94.7243884556422,""
149,2019Q1,"",S08000015,"",S08000015,d,Z9,d,All Specialties,d,127225,"",113176,"",1413.611111111111,"",1257.5111111111112,"",88.95735900962862,""
150,2019Q2,"",S08000015,"",A101H,"",Z9,d,All Specialties,d,1088,"",688,"",11.956043956043956,"",7.56043956043956,"",63.23529411764706,""
151,2019Q2,"",S08000015,"",A111H,"",Z9,d,All Specialties,d,48327,"",44233,"",531.065934065934,"",486.0769230769231,"",91.52854511970536,""
152,2019Q2,"",S08000015,"",A210H,"",Z9,d,All Specialties,d,30896,"",29050,"",339.5164835164835,"",319.2307692307692,"",94.02511651993784,""
153,2019Q2,"",S08000015,"",S08000015,d,Z9,d,All Specialties,d,125097,"",111417,"",1374.6923076923076,"",1224.362637362637,"",89.0644859588959,""
154,2019Q3,"",S08000015,"",A101H,"",Z9,d,All Specialties,d,1104,"",612,"",12,"",6.6521739130434785,"",55.434782608695656,""
155,2019Q3,"",S08000015,"",A111H,"",Z9,d,All Specialties,d,48729,"",44139,"",529.6630434782609,"",479.7717391304348,"",90.58055777873544,""
156,2019Q3,"",S08000015,"",A210H,"",Z9,d,All Specialties,d,31819,"",30126,"",345.85869565217394,"",327.45652173913044,"",94.67927967566548,""
157,2019Q3,"",S08000015,"",S08000015,d,Z9,d,All Specialties,d,125044,"",112458,"",1359.1739130434785,"",1222.3695652173913,"",89.93474297047439,""
158,2019Q4,"",S08000015,"",A101H,"",Z9,d,All Specialties,d,1027,"",697,"",11.16304347826087,"",7.576086956521739,"",67.86757546251218,""
159,2019Q4,"",S08000015,"",A111H,"",Z9,d,All Specialties,d,49567,"",45008,"",538.7717391304348,"",489.2173913043478,"",90.80234833659492,""
160,2019Q4,"",S08000015,"",A210H,"",Z9,d,All Specialties,d,31969,"",30237,"",347.4891304347826,"",328.6630434782609,"",94.58225155619506,""
161,2019Q4,"",S08000015,"",S08000015,d,Z9,d,All Specialties,d,127096,"",113932,"",1381.4782608695652,"",1238.391304347826,"",89.64247497954302,""
162,2020Q1,"",S08000015,"",A101H,"",Z9,d,All Specialties,d,708,"",550,"",7.78021978021978,"",6.043956043956044,"",77.68361581920904,""
163,2020Q1,"",S08000015,"",A111H,"",Z9,d,All Specialties,d,51028,"",43563,"",560.7472527472528,"",478.7142857142857,"",85.37077682840793,""
164,2020Q1,"",S08000015,"",A210H,"",Z9,d,All Specialties,d,31599,"",28375,"",347.24175824175825,"",311.8131868131868,"",89.79714547928731,""
165,2020Q1,"",S08000015,"",S08000015,d,Z9,d,All Specialties,d,128273,"",109791,"",1409.5934065934066,"",1206.4945054945056,"",85.59166777108199,""
166,2020Q2,"",S08000015,"",A101H,"",Z9,d,All Specialties,d,646,"",233,"",7.0989010989010985,"",2.56043956043956,"",36.06811145510836,""
167,2020Q2,"",S08000015,"",A111H,"",Z9,d,All Specialties,d,47205,"",31694,"",518.7362637362637,"",348.2857142857143,"",67.14119267026798,""
168,2020Q2,"",S08000015,"",A210H,"",Z9,d,All Specialties,d,25575,"",18188,"",281.04395604395603,"",199.86813186813183,"",71.11632453567938,""
169,2020Q2,"",S08000015,"",S08000015,d,Z9,d,All Specialties,d,118227,"",83771,"",1299.1978021978025,"",920.5604395604396,"",70.8560650274472,""
170,2020Q3,"",S08000015,"",A101H,"",Z9,d,All Specialties,d,720,"",410,"",7.826086956521739,"",4.456521739130435,"",56.94444444444444,""
171,2020Q3,"",S08000015,"",A111H,"",Z9,d,All Specialties,d,48548,"",41565,"",527.695652173913,"",451.7934782608696,"",85.61629727280217,""
172,2020Q3,"",S08000015,"",A210H,"",Z9,d,All Specialties,d,26089,"",23030,"",283.57608695652175,"",250.32608695652175,"",88.27475181110813,""
173,2020Q3,"",S08000015,"",S08000015,d,Z9,d,All Specialties,d,119063,"",99464,"",1294.1630434782608,"",1081.1304347826087,"",83.53896676549391,""
174,2020Q4,"",S08000015,"",A101H,"",Z9,d,All Specialties,d,736,"",306,"",8,"",3.3260869565217392,"",41.57608695652174,""
175,2020Q4,"",S08000015,"",A111H,"",Z9,d,All Specialties,d,51784,"",42997,"",562.8695652173913,"",467.35869565217394,"",83.03143828209487,""
176,2020Q4,"",S08000015,"",A210H,"",Z9,d,All Specialties,d,29451,"",26102,"",320.1195652173913,"",283.7173913043478,"",88.6285694883026,""
177,2020Q4,"",S08000015,"",S08000015,d,Z9,d,All Specialties,d,125897,"",104624,"",1368.445652173913,"",1137.2173913043478,"",83.10285392026815,""
178,2021Q1,"",S08000015,"",A101H,"",Z9,d,All Specialties,d,679,"",409,"",7.544444444444444,"",4.544444444444444,"",60.23564064801178,""
179,2021Q1,"",S08000015,"",A111H,"",Z9,d,All Specialties,d,51499,"",43543,"",572.2111111111111,"",483.81111111111113,"",84.55115633313268,""
180,2021Q1,"",S08000015,"",A210H,"",Z9,d,All Specialties,d,28722,"",24837,"",319.1333333333333,"",275.96666666666664,"",86.4737831627324,""
181,2021Q1,"",S08000015,"",S08000015,d,Z9,d,All Specialties,d,123289,"",101388,"",1369.8777777777775,"",1126.5333333333333,"",82.23604701149331,""
182,2021Q2,"",S08000015,"",A101H,"",Z9,d,All Specialties,d,640,"",336,"",7.032967032967033,"",3.692307692307693,"",52.5,""
183,2021Q2,"",S08000015,"",A111H,"",Z9,d,All Specialties,d,52168,"",45002,"",573.2747252747253,"",494.5274725274725,"",86.26360987578593,""
184,2021Q2,"",S08000015,"",A210H,"",Z9,d,All Specialties,d,27932,"",24894,"",306.94505494505495,"",273.56043956043953,"",89.12358585135328,""
